line_name,trial,season,Fruit_weight,Fruit_set
SL48,2013_Win_Mie,Win,182,-2.803360381
SL49,2013_Win_Mie,Win,158,-2.944438979
SL50,2013_Win_Mie,Win,160,-2.944438979
SL52,2013_Win_Mie,Win,215,-2.533696814
SL53,2013_Win_Mie,Win,155,-2.876385516
SL54,2013_Win_Mie,Win,193,-2.550864618
SL55,2013_Win_Mie,Win,176,-2.719333819
SL56,2013_Win_Mie,Win,239,-2.778819272
SL57,2013_Win_Mie,Win,157,-2.90989323
SL58,2013_Win_Mie,Win,145,-2.944438979
SL59,2013_Win_Mie,Win,175,-3.069475748
SL60,2013_Win_Mie,Win,168,-3.044522438
SL61,2013_Win_Mie,Win,169,-2.778819272
SL62,2013_Win_Mie,Win,159,-3.055048851
SL63,2013_Win_Mie,Win,201,-2.98009338
SL64,2013_Win_Mie,Win,136,-2.895409552
SL65,2013_Win_Mie,Win,198,-2.956991445
SL66,2013_Win_Mie,Win,208,-3.222348051
SL67,2013_Win_Mie,Win,176,-2.60141173
SL68,2013_Win_Mie,Win,187,-2.307834449
SL69,2013_Win_Mie,Win,154,-2.90989323
SL70,2013_Win_Mie,Win,203,-2.837406222
SL71,2013_Win_Mie,Win,182,-2.87423472
SL72,2013_Win_Mie,Win,139,-2.813875725
SL73,2013_Win_Mie,Win,168,-2.944438979
SL74,2013_Win_Mie,Win,208,-2.564949357
SL75,2013_Win_Mie,Win,182,-2.995732274
SL76,2013_Win_Mie,Win,163,-2.718254371
SL77,2013_Win_Mie,Win,195,-2.542726221
SL79,2013_Win_Mie,Win,141,-2.813875725
SL80,2013_Win_Mie,Win,182,-3.055048851
SL81,2013_Win_Mie,Win,158,-2.812233554
SL82,2013_Win_Mie,Win,160,-2.674852132
SL83,2013_Win_Mie,Win,146,-2.944438979
SL84,2013_Win_Mie,Win,197,-2.318733079
SL85,2013_Win_Mie,Win,160,-2.948259423
SL86,2013_Win_Mie,Win,241,-2.495269437
SL87,2013_Win_Mie,Win,232,-2.995732274
SL88,2013_Win_Mie,Win,154,-2.90989323
SL89,2013_Win_Mie,Win,188,-2.677278542
SL90,2013_Win_Mie,Win,147,-2.540025949
SL91,2013_Win_Mie,Win,157,-3.016934481
SL92,2013_Win_Mie,Win,244,-2.674852132
SL93,2013_Win_Mie,Win,186,-2.987205457
SL94,2013_Win_Mie,Win,163,-2.719333819
SL95,2013_Win_Mie,Win,167,-2.910632943
SL96,2013_Win_Mie,Win,226,-2.480930501
SL101,2013_Win_Mie,Win,195,-2.948259423
SL102,2013_Win_Mie,Win,194,-2.98009338
SL103,2013_Win_Mie,Win,151,-2.721987709
SL1,2014_Win_Mie,Win,126,-2.512305624
SL2,2014_Win_Mie,Win,228,-2.76000994
SL3,2014_Win_Mie,Win,168,-2.765620053
SL4,2014_Win_Mie,Win,172,-2.87423472
SL5,2014_Win_Mie,Win,148,-2.876385516
SL6,2014_Win_Mie,Win,128,-2.812233554
SL7,2014_Win_Mie,Win,97,-2.662587827
SL8,2014_Win_Mie,Win,124,-2.90989323
SL9,2014_Win_Mie,Win,198,-2.944438979
SL10,2014_Win_Mie,Win,124,-2.833213344
SL11,2014_Win_Mie,Win,212,-2.764220473
SL12,2014_Win_Mie,Win,147,-2.677972746
SL13,2014_Win_Mie,Win,123,-2.87423472
SL14,2014_Win_Mie,Win,146,-2.843851742
SL15,2014_Win_Mie,Win,155,-3.016934481
SL16,2014_Win_Mie,Win,154,-2.98009338
SL17,2014_Win_Mie,Win,216,-2.948259423
SL18,2014_Win_Mie,Win,179,-2.430418465
SL101,2014_Win_Mie,Win,264,-2.840109923
SL20,2014_Win_Mie,Win,160,-2.721987709
SL21,2014_Win_Mie,Win,194,-2.456735773
SL22,2014_Win_Mie,Win,233,-3.19047635
SL23,2014_Win_Mie,Win,157,-2.76000994
SL24,2014_Win_Mie,Win,153,-2.335374916
SL25,2014_Win_Mie,Win,273,-2.633817143
SL26,2014_Win_Mie,Win,216,-2.582680318
SL27,2014_Win_Mie,Win,112,-2.649540827
SL28,2014_Win_Mie,Win,176,-2.765620053
SL29,2014_Win_Mie,Win,180,-2.843851742
SL30,2014_Win_Mie,Win,139,-2.63905733
SL31,2014_Win_Mie,Win,143,-2.101260589
SL32,2014_Win_Mie,Win,158,-2.685192063
SL33,2014_Win_Mie,Win,174,-2.848442065
SL34,2014_Win_Mie,Win,201,-2.76000994
SL35,2014_Win_Mie,Win,165,-2.838982591
SL36,2014_Win_Mie,Win,148,-2.98009338
SL37,2014_Win_Mie,Win,159,-2.843851742
SL38,2014_Win_Mie,Win,148,-2.629696887
SL39,2014_Win_Mie,Win,122,-2.721987709
SL40,2014_Win_Mie,Win,142,-2.944438979
SL41,2014_Win_Mie,Win,144,-2.910632943
SL42,2014_Win_Mie,Win,123,-2.956991445
SL43,2014_Win_Mie,Win,193,-2.76000994
SL44,2014_Win_Mie,Win,183,-2.63905733
